id,label
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/272.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/151.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/24.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/338.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/394.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/577.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/126.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/313.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/754.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/870.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/420.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/816.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/226.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/675.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/377.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/343.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/325.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/827.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/227.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/307.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/918.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/893.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/529.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/550.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/727.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/604.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/952.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/301.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/364.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/120.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/579.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/567.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/498.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/393.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/280.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/983.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/600.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/869.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/989.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/271.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/524.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/573.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/482.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/582.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/622.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/695.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/953.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/930.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/CN/93.png,1
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/975.png,0
/staff/shijun/torch_projects/Brain_CLS/dataset/pre_data/train/AD/876.png,0
